knockout,reaction,ref1,ref2,ref3,ref4,ref5,ref6
wildtype,,4.5,3,6.9,0.35,0.58,6.05061910841186
ybhE,PGL,,,,,,8.0851547947321
gnd,GND,,,,,,7.5818558472165
zwf,G6PDH2r,,,,,1.11,6.83698129190525
glk,HEX1,,,,,,6.80537889102799
talB,TALA,,,,,,4.38154380820721
tktA,TKT1,,,,,,3.73301287478207
ppc,PPC,1.1,3.2,,,,
crr,GLCptspp,,,,,,3.11912546659285
glta,CS,,2.7,,,,
rpe,RPE,,,,,,2.54495917161197
pta,PTAr,0.6,,1.5,0.08,,
ackA,ACKr,,,1.4,0.09,,
tpi,TPI,0.2,,,,,0.922282242176435
pfkA,PFK_3,,,,,,0.857219754627572
pgi,PGI,0.1,,,,,0.0352444424916851
ptsG,GLCptspp,,,,,,0
